,precision,recall,f1-score,support
astro-ph.CO,0.7355623100303952,0.8203389830508474,0.7756410256410257,295.0
astro-ph.EP,0.8536585365853658,0.625,0.7216494845360825,56.0
astro-ph.GA,0.7258064516129032,0.34615384615384615,0.46875,130.0
astro-ph.HE,0.6688741721854304,0.7372262773722628,0.7013888888888888,137.0
astro-ph.IM,0.5476190476190477,0.4423076923076923,0.48936170212765956,52.0
astro-ph.SR,0.6764705882352942,0.8256410256410256,0.74364896073903,195.0
cond-mat.dis-nn,0.48936170212765956,0.46938775510204084,0.4791666666666667,98.0
cond-mat.mes-hall,0.7094861660079052,0.7821350762527233,0.7440414507772021,459.0
cond-mat.mtrl-sci,0.6591928251121076,0.6712328767123288,0.665158371040724,438.0
cond-mat.other,0.5454545454545454,0.36,0.43373493975903615,200.0
cond-mat.soft,0.6875,0.7623762376237624,0.7230046948356808,202.0
cond-mat.stat-mech,0.5885714285714285,0.5802816901408451,0.5843971631205673,355.0
cond-mat.str-el,0.7169811320754716,0.6503667481662592,0.6820512820512821,409.0
cond-mat.supr-con,0.8093922651933702,0.8932926829268293,0.8492753623188406,328.0
cs.DS,0.8431372549019608,0.7962962962962963,0.819047619047619,54.0
cs.IT,0.8544600938967136,0.896551724137931,0.875,203.0
gr-qc,0.7642276422764228,0.7752577319587629,0.7697031729785057,485.0
hep-ex,0.8858447488584474,0.8434782608695652,0.8641425389755011,230.0
hep-lat,0.8391608391608392,0.9090909090909091,0.8727272727272727,132.0
hep-ph,0.8213592233009709,0.846,0.8334975369458129,500.0
hep-th,0.7450592885375494,0.754,0.7495029821073559,500.0
math-ph,0.4405144694533762,0.41641337386018235,0.428125,329.0
math.AC,0.6712328767123288,0.7538461538461538,0.7101449275362319,65.0
math.AG,0.8032786885245902,0.6666666666666666,0.7286245353159851,294.0
math.AP,0.708,0.7972972972972973,0.75,222.0
math.AT,0.7333333333333333,0.4647887323943662,0.5689655172413793,71.0
math.CA,0.4230769230769231,0.4489795918367347,0.43564356435643564,98.0
math.CO,0.731404958677686,0.731404958677686,0.731404958677686,242.0
math.CV,0.515625,0.4230769230769231,0.4647887323943662,78.0
math.DG,0.757201646090535,0.7510204081632653,0.7540983606557377,245.0
math.DS,0.6984126984126984,0.6423357664233577,0.6692015209125475,137.0
math.FA,0.5572519083969466,0.6239316239316239,0.5887096774193549,117.0
math.GR,0.6015625,0.7623762376237624,0.6724890829694323,101.0
math.GT,0.6069364161849711,0.8015267175572519,0.6907894736842105,131.0
math.NA,0.75,0.6428571428571429,0.6923076923076923,56.0
math.NT,0.6763485477178424,0.8029556650246306,0.7342342342342343,203.0
math.OA,0.8181818181818182,0.6,0.6923076923076923,75.0
math.OC,0.5625,0.6206896551724138,0.5901639344262295,58.0
math.PR,0.8197879858657244,0.8405797101449275,0.8300536672629696,276.0
math.QA,0.5892857142857143,0.4024390243902439,0.4782608695652174,82.0
math.RA,0.41304347826086957,0.4691358024691358,0.4393063583815029,81.0
math.RT,0.5595238095238095,0.7642276422764228,0.6460481099656358,123.0
math.ST,0.8053097345132744,0.8584905660377359,0.8310502283105022,106.0
nlin.CD,0.625,0.5,0.5555555555555556,70.0
nlin.SI,0.4857142857142857,0.32075471698113206,0.38636363636363635,53.0
nucl-ex,0.7284768211920529,0.7913669064748201,0.7586206896551724,139.0
nucl-th,0.836,0.7655677655677655,0.7992351816443595,273.0
physics.atom-ph,0.6495726495726496,0.7755102040816326,0.7069767441860465,98.0
physics.class-ph,0.5945945945945946,0.4230769230769231,0.4943820224719101,52.0
physics.flu-dyn,0.6621621621621622,0.6363636363636364,0.6490066225165563,77.0
physics.gen-ph,0.5779816513761468,0.5206611570247934,0.5478260869565217,121.0
physics.ins-det,0.66,0.5409836065573771,0.5945945945945946,61.0
physics.optics,0.7289156626506024,0.7857142857142857,0.75625,154.0
physics.plasm-ph,0.7419354838709677,0.7540983606557377,0.7479674796747967,61.0
physics.soc-ph,0.85,0.8095238095238095,0.8292682926829268,84.0
quant-ph,0.7861771058315334,0.728,0.7559709241952233,500.0
accuracy,0.7088826869406217,0.7088826869406217,0.7088826869406217,0.7088826869406217
macro avg,0.6845629140343082,0.6682692293848886,0.6706004836376268,10391.0
weighted avg,0.7090811683372731,0.7088826869406217,0.7052638988606892,10391.0
